Company,Industry,Revenue,Employees,#job30,#job90,MonthlyCharge,TotalCharge,Churn
comp_0,travel,9270,4635,3,56,446,1476,1
comp_1,finance,99420,49710,7,97,424,3039,0
comp_2,gov,83410,27803,7,66,1128,1422,0
comp_3,service,59650,19883,5,58,967,3661,0
comp_4,retail,29080,14540,4,13,461,1172,1
comp_5,finance,83590,20898,5,75,472,3735,0
comp_6,retail,86080,28693,9,85,824,4475,1
comp_7,energy,65520,16380,8,69,1186,5200,0
comp_8,service,81610,20402,7,55,1031,3904,0
comp_9,energy,74810,24937,8,38,764,3288,0
comp_10,energy,78610,26203,5,74,1160,7822,0
comp_11,travel,34050,11350,7,56,254,271,0
comp_12,health,17400,8700,7,93,200,664,0
comp_13,finance,85590,42795,9,44,601,724,0
comp_14,health,5230,2615,5,56,452,548,0
comp_15,retail,18880,9440,3,15,143,404,1
comp_16,gov,25750,6438,4,76,103,706,1
comp_17,IT,40610,20305,3,10,804,1389,1
comp_18,retail,80080,40040,5,67,193,1015,1
comp_19,consulting,77470,38735,3,94,747,796,1
comp_20,retail,20900,5225,7,60,1097,6470,1
comp_21,retail,55880,18627,5,87,959,1244,1
comp_22,consulting,9310,3103,3,26,430,626,1
comp_23,consulting,37960,9490,8,14,605,2067,1
comp_24,IT,12060,4020,3,85,567,5678,1
comp_25,retail,42050,10512,6,45,1177,1256,1
comp_26,travel,5820,1940,6,30,327,686,0
comp_27,gov,16700,8350,3,33,574,796,1
comp_28,travel,85320,21330,6,68,734,3846,0
comp_29,gov,34430,8608,9,65,971,1320,0
comp_30,IT,68490,17122,7,33,292,2257,1
comp_31,energy,3200,800,3,88,850,3899,1
comp_32,gov,3130,782,6,22,315,721,0
comp_33,health,73970,36985,6,91,1095,2800,0
comp_34,health,880,293,3,57,726,6653,1
comp_35,consulting,35910,11970,4,24,864,6728,1
comp_36,health,22890,7630,6,25,620,745,0
comp_37,consulting,54810,13702,6,37,315,394,1
comp_38,retail,7080,1770,8,73,695,2567,1
comp_39,consulting,61430,20477,6,77,1078,7942,1
comp_40,service,48630,16210,4,30,1101,5351,1
comp_41,health,70070,17518,8,99,272,2630,0
comp_42,health,11660,3887,4,79,400,673,1
comp_43,IT,6160,3080,5,59,574,6068,1
comp_44,finance,71910,35955,7,46,329,882,0
comp_45,retail,15760,5253,7,41,1153,2542,1
comp_46,consulting,75530,18882,4,61,834,2745,1
comp_47,consulting,4820,1205,6,33,904,1781,1
comp_48,IT,44890,14963,5,62,1067,5552,1
comp_49,finance,13340,3335,4,78,484,3215,1
comp_50,health,1910,637,6,77,1054,3960,0
comp_51,finance,2810,937,4,82,890,1301,1
comp_52,retail,91380,45690,5,85,492,3785,1
comp_53,consulting,1400,350,8,65,1087,2508,1
comp_54,consulting,33590,16795,5,10,1094,2166,1
comp_55,IT,54870,18290,5,74,1042,1082,1
comp_56,consulting,28460,9487,5,96,376,459,1
comp_57,service,62540,20847,8,47,419,455,0
comp_58,travel,76580,38290,5,14,883,8137,1
comp_59,energy,50540,16847,8,27,1090,9913,0
comp_60,energy,12570,4190,9,50,722,3369,0
comp_61,finance,64390,16098,9,21,1141,4591,0
comp_62,energy,97690,24422,9,29,1133,2593,0
comp_63,gov,6720,3360,6,81,575,2848,0
comp_64,IT,18340,9170,8,58,846,2150,1
comp_65,energy,12680,4227,6,56,440,2250,0
comp_66,retail,75550,37775,8,66,542,1878,1
comp_67,retail,16320,8160,6,34,865,2323,1
comp_68,IT,22190,11095,5,80,874,7013,1
comp_69,energy,46000,11500,7,74,756,6908,0
comp_70,finance,87160,21790,8,95,248,879,0
comp_71,retail,79300,39650,5,55,1002,1720,1
comp_72,IT,51590,17197,4,13,313,655,1
comp_73,IT,12630,3158,9,93,993,1131,1
comp_74,retail,38800,9700,6,79,682,3294,1
comp_75,IT,58960,19653,4,73,294,503,1
comp_76,travel,41130,20565,6,56,612,962,0
comp_77,gov,40390,10098,4,88,195,958,1
comp_78,energy,23600,11800,9,18,980,7359,1
comp_79,finance,21760,7253,7,83,338,1665,0
comp_80,service,37320,18660,6,70,1103,6294,0
comp_81,consulting,97910,48955,7,75,1115,6780,1
comp_82,consulting,27760,9253,6,77,1027,1137,1
comp_83,finance,96890,48445,3,97,1124,1440,1
comp_84,IT,50110,16703,9,11,618,1302,1
comp_85,consulting,36150,18075,3,28,975,1663,1
comp_86,gov,8160,2720,4,18,1086,3374,1
comp_87,service,22720,5680,7,79,223,274,0
comp_88,IT,1030,258,5,97,1182,1755,1
comp_89,consulting,80630,40315,4,79,338,448,1
comp_90,finance,34700,17350,7,37,876,5977,0
comp_91,retail,85940,21485,9,96,433,1296,1
comp_92,retail,34460,17230,6,35,709,2473,1
comp_93,service,70080,35040,6,50,712,1525,0
comp_94,energy,16380,5460,5,46,1180,9190,0
comp_95,travel,37540,12513,8,27,312,363,0
comp_96,energy,31850,10617,7,15,382,572,1
comp_97,travel,77850,19462,3,38,395,551,1
comp_98,consulting,17760,8880,8,98,481,1184,1
comp_99,health,47810,23905,4,51,667,4913,1
comp_100,energy,67620,22540,8,14,1032,2031,1
comp_101,service,2590,1295,6,52,635,3849,0
comp_102,consulting,32960,10987,9,26,449,4018,1
comp_103,consulting,56670,18890,6,88,621,2184,1
comp_104,retail,72900,36450,9,70,791,1370,1
comp_105,retail,60540,15135,8,70,555,5280,1
comp_106,gov,50440,25220,7,48,300,350,0
comp_107,consulting,32430,10810,3,50,1192,4000,1
comp_108,retail,11800,3933,6,12,678,5382,1
comp_109,energy,34780,17390,4,87,869,1784,1
comp_110,travel,13480,4493,6,40,409,1339,0
comp_111,travel,54880,13720,7,99,902,7566,0
comp_112,finance,34910,8728,3,43,610,1411,1
comp_113,travel,19570,6523,6,60,1072,3405,0
comp_114,service,39430,19715,3,78,1174,2408,1
comp_115,energy,590,295,6,65,922,3030,0
comp_116,health,16550,5517,7,56,1164,5922,0
comp_117,consulting,75400,18850,8,38,672,679,1
comp_118,service,6850,3425,8,28,522,1510,0
comp_119,health,7960,1990,4,92,704,6946,1
comp_120,retail,91420,22855,3,96,379,3275,1
comp_121,service,5560,1853,7,94,649,841,0
comp_122,IT,58200,19400,8,22,836,2083,1
comp_123,gov,59550,14888,5,71,679,1906,0
comp_124,service,7270,2423,6,91,116,804,0
comp_125,finance,8310,2078,3,98,1137,8272,1
comp_126,IT,68720,34360,9,33,432,440,1
comp_127,finance,29730,9910,3,15,605,2403,1
comp_128,service,10380,3460,3,86,238,476,1
comp_129,energy,31120,15560,3,98,930,1954,1
comp_130,finance,95360,23840,4,16,1176,7781,1
comp_131,retail,20750,10375,6,26,1041,1473,1
comp_132,retail,84610,28203,6,86,1013,3042,1
comp_133,energy,57510,28755,3,42,483,1327,1
comp_134,travel,72480,24160,6,34,966,3173,0
comp_135,gov,57880,14470,3,60,157,466,1
comp_136,consulting,89760,29920,7,43,654,1609,1
comp_137,service,59810,14952,9,89,1045,5079,0
comp_138,service,87610,43805,6,46,840,1738,0
comp_139,consulting,40260,10065,8,94,892,1778,1
comp_140,service,85410,28470,3,59,1026,6969,1
comp_141,consulting,57150,28575,4,39,456,2303,1
comp_142,IT,28290,9430,5,50,929,3096,1
comp_143,health,1890,630,7,15,522,937,1
comp_144,IT,1760,587,5,87,748,2211,1
comp_145,health,13190,3298,7,71,923,2744,0
comp_146,gov,98840,49420,5,13,720,1293,1
comp_147,travel,1550,517,6,71,110,764,0
comp_148,finance,36530,9132,7,51,439,1680,0
comp_149,service,93090,23272,8,72,1053,1756,0
comp_150,travel,35000,8750,5,40,840,2324,0
comp_151,consulting,88330,22082,8,89,560,1760,1
comp_152,gov,39020,13007,9,44,516,1840,0
comp_153,retail,66480,22160,8,56,468,1956,1
comp_154,gov,79380,19845,3,27,530,2310,1
comp_155,finance,13750,4583,9,91,503,1062,0
comp_156,IT,3570,1785,5,24,724,1016,1
comp_157,consulting,77440,25813,3,19,1047,1632,1
comp_158,energy,10310,3437,4,71,253,1450,1
comp_159,retail,4460,1115,7,36,259,516,1
comp_160,consulting,96150,32050,6,35,180,871,1
comp_161,travel,10240,5120,4,89,818,1703,1
comp_162,IT,25460,12730,3,51,343,555,1
comp_163,finance,11740,2935,9,88,377,914,0
comp_164,retail,32120,10707,7,12,135,789,1
comp_165,finance,12070,3018,9,16,380,4399,1
comp_166,health,58670,19557,8,47,708,862,0
comp_167,service,1140,570,4,55,419,2739,1
comp_168,retail,21150,10575,4,83,570,939,1
comp_169,finance,71610,35805,6,93,176,860,0
comp_170,gov,81500,20375,7,54,478,1441,0
comp_171,energy,20530,5132,6,28,962,3556,0
comp_172,travel,88520,22130,3,21,1153,4057,1
comp_173,consulting,11850,2962,5,26,1129,2102,1
comp_174,health,66540,22180,3,50,575,751,1
comp_175,travel,64500,32250,7,24,630,2901,0
comp_176,retail,55350,18450,4,15,386,653,1
comp_177,consulting,64210,32105,3,92,715,4206,1
comp_178,finance,1220,610,6,10,296,344,1
comp_179,retail,300,150,9,58,742,2008,1
comp_180,energy,43980,14660,9,42,576,3110,0
comp_181,retail,92250,30750,6,71,891,4114,1
comp_182,IT,68890,22963,9,83,1043,8002,1
comp_183,consulting,88350,44175,7,11,623,3007,1
comp_184,retail,14720,3680,7,70,1172,5733,1
comp_185,retail,35810,11937,9,23,554,1441,1
comp_186,consulting,83660,41830,7,59,432,747,1
comp_187,service,23170,5792,3,57,480,2091,1
comp_188,travel,6980,2327,7,14,901,5858,1
comp_189,service,26460,6615,6,38,510,2385,0
comp_190,finance,41790,10448,5,87,636,688,0
comp_191,IT,83900,20975,3,17,1104,3374,1
comp_192,consulting,47940,11985,8,15,1057,2566,1
comp_193,energy,7810,3905,5,42,1010,5126,0
comp_194,finance,7800,1950,5,11,955,1706,1
comp_195,gov,78780,39390,6,98,707,884,0
comp_196,IT,68690,34345,7,84,413,420,1
comp_197,IT,35060,8765,8,82,1075,6563,1
comp_198,service,16900,8450,3,36,147,1232,1
comp_199,gov,5000,2500,3,47,622,640,1
comp_200,travel,57340,19113,3,59,483,519,1
comp_201,health,35680,17840,7,65,167,733,0
comp_202,retail,39260,9815,4,16,542,2478,1
comp_203,energy,100,50,3,84,509,2489,1
comp_204,travel,54100,13525,3,92,520,1599,1
comp_205,finance,17300,5767,6,98,482,919,0
comp_206,energy,46490,23245,3,39,726,3769,1
comp_207,consulting,88760,29587,8,15,735,1468,1
comp_208,finance,82090,20522,4,87,826,4285,1
comp_209,health,16260,4065,4,92,576,1659,1
comp_210,finance,75610,37805,7,28,1082,1159,0
comp_211,health,31170,10390,5,76,376,1198,0
